Stop: 440015158    1993 buses per day
Stop: 440015161    1993 buses per day
Stop: 70016561     1993 buses per day
Stop: 706325       1993 buses per day
Stop: 670016557    1926 buses per day
Stop: 6714452       659 buses per day
Stop: 800014197     877 buses per day
Stop: 90017113      832 buses per day
Stop: 90017114     1187 buses per day
Stop: 90017115      545 buses per day
Stop: 90017116      268 buses per day
Stop: 700017118     268 buses per day
Stop: 910813        268 buses per day
Stop: 710000966     405 buses per day
Stop: 710000959     325 buses per day
Stop: 710000958     268 buses per day
Stop: 710000651     389 buses per day
Stop: 8412890       171 buses per day
Stop: 8412862       651 buses per day
Stop: 840003947     246 buses per day
Stop: 7112458       299 buses per day
Stop: 7112459       299 buses per day
Stop: 710000982     456 buses per day
Stop: 710000984     299 buses per day
Stop: 710000987     299 buses per day
Stop: 710000989     299 buses per day
Stop: 710000991     299 buses per day
Stop: 710000705     864 buses per day
Stop: 710000706     864 buses per day
Stop: 710000707     864 buses per day
Stop: 710017211     812 buses per day
Stop: 710000636     960 buses per day
Stop: 710000969    1800 buses per day
Stop: 710017212    1420 buses per day
Stop: 710017213    1530 buses per day
Stop: 710000954    1648 buses per day
Stop: 8812651       711 buses per day
Stop: 6714499       354 buses per day
Stop: 6714622       762 buses per day
Stop: 670009786    1009 buses per day
Stop: 6714565       375 buses per day
Stop: 6714559       375 buses per day
Stop: 260016674     375 buses per day
Stop: 260016675     375 buses per day
Stop: 2600262       375 buses per day
Stop: 260016677     375 buses per day
Stop: 260016678     375 buses per day
Stop: 440015138     375 buses per day
Stop: 440015136     375 buses per day
Stop: 440015135     375 buses per day
Stop: 440015133     375 buses per day
Stop: 440015130     375 buses per day
Stop: 440015107     375 buses per day
Stop: 630015109     375 buses per day
Stop: 630015111     375 buses per day
Stop: 630015113     375 buses per day
Stop: 630015116     217 buses per day
Stop: 630015033    1536 buses per day
Stop: 630015034    2672 buses per day
Stop: 630015035    2672 buses per day
Stop: 6311346      1045 buses per day
Stop: 6311351      2238 buses per day
Stop: 6311382       171 buses per day
Stop: 6306764      1969 buses per day
Stop: 630014802    1743 buses per day
Stop: 6311344      1423 buses per day
Stop: 630015022    1461 buses per day
Stop: 630015115     370 buses per day
Stop: 630015114     370 buses per day
Stop: 630015112     370 buses per day
Stop: 630015110     370 buses per day
Stop: 440015108     370 buses per day
Stop: 440015129     370 buses per day
Stop: 440015131     370 buses per day
Stop: 440015132     370 buses per day
Stop: 440015134     370 buses per day
Stop: 440015137     370 buses per day
Stop: 440015139     370 buses per day
Stop: 440015043     370 buses per day
Stop: 260016680     370 buses per day
Stop: 260016681     370 buses per day
Stop: 260016682     370 buses per day
Stop: 2600698       370 buses per day
Stop: 260015945     263 buses per day
Stop: 670016882    1432 buses per day
Stop: 670016424     658 buses per day
Stop: 6714583      1088 buses per day
Stop: 670012997    1196 buses per day
Stop: 800012998    1007 buses per day
Stop: 800013000    1185 buses per day
Stop: 90016727      642 buses per day
Stop: 90016728      642 buses per day
Stop: 570014287    1047 buses per day
Stop: 710000953    1340 buses per day
Stop: 710017208    1797 buses per day
Stop: 710000972    2286 buses per day
Stop: 710000653    1952 buses per day
Stop: 710000656    1173 buses per day
Stop: 7110436      1056 buses per day
Stop: 710002065     334 buses per day
Stop: 710002066     334 buses per day
Stop: 710000990     300 buses per day
Stop: 710000988     300 buses per day
Stop: 710000986     300 buses per day
Stop: 710000985     300 buses per day
Stop: 7113160       300 buses per day
Stop: 8412855       661 buses per day
Stop: 840000678     586 buses per day
Stop: 8412475      1082 buses per day
Stop: 940003729     284 buses per day
Stop: 940003731     214 buses per day
Stop: 9412251       815 buses per day
Stop: 940003767    1302 buses per day
Stop: 940003886    1302 buses per day
Stop: 9412668      1408 buses per day
Stop: 940004427    1408 buses per day
Stop: 940004420    1089 buses per day
Stop: 940003780     324 buses per day
Stop: 940003781     324 buses per day
Stop: 940003783     324 buses per day
Stop: 910003785     324 buses per day
Stop: 940003787     324 buses per day
Stop: 910000912     382 buses per day
Stop: 910000910     382 buses per day
Stop: 910000893     476 buses per day
Stop: 910017229     411 buses per day
Stop: 910000890     576 buses per day
Stop: 910000888     576 buses per day
Stop: 910002010     487 buses per day
Stop: 910002012     487 buses per day
Stop: 910000862    1468 buses per day
Stop: 910000864    1544 buses per day
Stop: 910000866    1544 buses per day
Stop: 910000869    1550 buses per day
Stop: 910000871    1502 buses per day
Stop: 880001883     350 buses per day
Stop: 880001884     350 buses per day
Stop: 880001885     350 buses per day
Stop: 880001886     419 buses per day
Stop: 880001887     610 buses per day
Stop: 710001888     419 buses per day
Stop: 710000965     187 buses per day
Stop: 7113169       244 buses per day
Stop: 7110644       531 buses per day
Stop: 570014289     703 buses per day
Stop: 90016636      457 buses per day
Stop: 6714500       184 buses per day
Stop: 670012996     430 buses per day
Stop: 670012964     430 buses per day
Stop: 6714570       236 buses per day
Stop: 570014558     118 buses per day
Stop: 570014559     418 buses per day
Stop: 570014560     418 buses per day
Stop: 570014561     418 buses per day
Stop: 570014562     418 buses per day
Stop: 80014563      346 buses per day
Stop: 614508        346 buses per day
Stop: 9110540      1505 buses per day
Stop: 910000872    1553 buses per day
Stop: 910000870    1553 buses per day
Stop: 910000868    1553 buses per day
Stop: 910000865    1553 buses per day
Stop: 910000863    1238 buses per day
Stop: 910002013     496 buses per day
Stop: 910002011     496 buses per day
Stop: 910002009     496 buses per day
Stop: 910000889     582 buses per day
Stop: 910000891     589 buses per day
Stop: 910000892     480 buses per day
Stop: 910000909     385 buses per day
Stop: 910000911     385 buses per day
Stop: 910003786     327 buses per day
Stop: 910003784     327 buses per day
Stop: 910003782     327 buses per day
Stop: 910003778     327 buses per day
Stop: 9112457       898 buses per day
Stop: 940004359    1305 buses per day
Stop: 940004032    1049 buses per day
Stop: 9412250       820 buses per day
Stop: 360004975     101 buses per day
Stop: 890004842     977 buses per day
Stop: 890004844     791 buses per day
Stop: 890004846     791 buses per day
Stop: 890004847     791 buses per day
Stop: 6509449       791 buses per day
Stop: 650012085    1003 buses per day
Stop: 650012084    1003 buses per day
Stop: 6508816      1284 buses per day
Stop: 2808820      1622 buses per day
Stop: 650005646    1743 buses per day
Stop: 6508824      2113 buses per day
Stop: 650005647    2371 buses per day
Stop: 650005656    1885 buses per day
Stop: 650005658    1711 buses per day
Stop: 650005660    1711 buses per day
Stop: 650005662    1711 buses per day
Stop: 650005664    1849 buses per day
Stop: 650005666    1908 buses per day
Stop: 600005668    1612 buses per day
Stop: 600005670    1612 buses per day
Stop: 6009703      2085 buses per day
Stop: 6009269      2085 buses per day
Stop: 600005613    1504 buses per day
Stop: 600005614    1504 buses per day
Stop: 600012366    1715 buses per day
Stop: 600012364    1343 buses per day
Stop: 6009458      1343 buses per day
Stop: 600012375    1794 buses per day
Stop: 600012391    1259 buses per day
Stop: 600012396    3705 buses per day
Stop: 600012393    1166 buses per day
Stop: 600012525    1934 buses per day
Stop: 600012613    1155 buses per day
Stop: 8210222       462 buses per day
Stop: 600012566     533 buses per day
Stop: 910001875     873 buses per day
Stop: 910001876     832 buses per day
Stop: 910001877     832 buses per day
Stop: 910001878     513 buses per day
Stop: 910001879     513 buses per day
Stop: 910001880     513 buses per day
Stop: 910001881     702 buses per day
Stop: 910001882     286 buses per day
Stop: 670005370     101 buses per day
Stop: 800014767     519 buses per day
Stop: 8010214        73 buses per day
Stop: 800002384     142 buses per day
Stop: 90017117      228 buses per day
Stop: 570001789     300 buses per day
Stop: 80014566      543 buses per day
Stop: 80014567      543 buses per day
Stop: 80014568      543 buses per day
Stop: 820012561     849 buses per day
Stop: 820012562     359 buses per day
Stop: 820012563     359 buses per day
Stop: 810604        550 buses per day
Stop: 8210124       550 buses per day
Stop: 820012565     550 buses per day
